Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result,url_entity_partial,category,url_entity_full
Bora Pharmaceuticals - Cafeteria,7333 Mississauga Rd Mississauga ON L5N 6L4,Cafeteria,2024-04-22,,location.href = '/Portal/Facility/Details/01716e6b-8877-489d-a451-df4d7e6b0983' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/01716e6b-8877-489d-a451-df4d7e6b0983
Eh to Zed Preschool Canada Early Learning Academy,1-3-8814 The Gore Rd Brampton ON L6P 1B0,IPAC - Child Care - Off-site Food Preparation,2024-04-09,,location.href = '/Portal/Facility/Details/e9e73af3-ce4b-4cfb-8c5f-4d5f60b38f9d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e9e73af3-ce4b-4cfb-8c5f-4d5f60b38f9d
Haleon - Sodexo Canada Ltd,450-55 Standish Ct Mississauga ON L5R 4B2,Cafeteria,2024-01-12,,location.href = '/Portal/Facility/Details/14245cf6-b9c5-4165-9bee-35c793d85659' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/14245cf6-b9c5-4165-9bee-35c793d85659
Kitchen Food Fair,118-284 Queen St E Brampton ON L6V 1C2,Food Store (e.g. Convenience/Variety),2024-01-24,,location.href = '/Portal/Facility/Details/7a71df16-ba50-4b97-8f58-691fe256aad7' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7a71df16-ba50-4b97-8f58-691fe256aad7
Kitchen Food Fair,1-110 Brickyard Way Brampton ON L6V 4N1,Food Store (e.g. Convenience/Variety),,,location.href = '/Portal/Facility/Details/fb73a5cc-e9b9-433a-aaf8-ad5d13b5effd' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/fb73a5cc-e9b9-433a-aaf8-ad5d13b5effd
Kitchen Food Fair,1-110 Brickyard Way Brampton ON L6V 4N1,Food Store (e.g. Convenience/Variety),,,location.href = '/Portal/Facility/Details/db0a53df-b633-4625-b29e-e8a9f8a9395d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/db0a53df-b633-4625-b29e-e8a9f8a9395d
Laith Meat Shop,9-223 Ceremonial Dr Mississauga ON L5R 2N3,Butcher Shop,2024-04-09,,location.href = '/Portal/Facility/Details/03bc43ff-7a4f-473d-b142-878642e4ba66' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/03bc43ff-7a4f-473d-b142-878642e4ba66
Mango Like Desserts,1-728-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2023-11-29,,location.href = '/Portal/Facility/Details/7c44e824-5ecc-4ac0-9554-706c2767e052' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7c44e824-5ecc-4ac0-9554-706c2767e052
Pizza Xpress,2-135 Inspire Blvd Brampton ON L6R 3X9,Food Take Out,2023-12-05,,location.href = '/Portal/Facility/Details/b0e34db5-facd-4135-8825-ef15731e6b93' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b0e34db5-facd-4135-8825-ef15731e6b93
PLASP Active Learning Centre,25 Corporation Dr Brampton ON L6S 6A2,IPAC - Child Care - On-site Food Preparation,2024-04-12,,location.href = '/Portal/Facility/Details/af39b9f2-6afb-4e26-b651-68af5f399044' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/af39b9f2-6afb-4e26-b651-68af5f399044
1 Stop African Caribbean Market,2A-16 Lisa St Brampton ON L6T 5R2,Food Store (e.g. Convenience/Variety),2023-09-11,,location.href = '/Portal/Facility/Details/12c49a54-d0f1-4a74-831b-926eadaeb0a9' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/12c49a54-d0f1-4a74-831b-926eadaeb0a9
1001 Nights Kebab & Shawarma,E2-50 Rivermont Rd Brampton ON L6Y 0E3,Restaurant,2023-10-19,,location.href = '/Portal/Facility/Details/c2c4274c-3d70-4365-b311-c1d63a743173' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c2c4274c-3d70-4365-b311-c1d63a743173
123 TLC Preschool,322 Queen St S Mississauga ON L5M 1M2,IPAC - Child Care - On-site Food Preparation,2024-01-31,,location.href = '/Portal/Facility/Details/7414f798-2dc2-4b0f-8d86-ab224dfebef0' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7414f798-2dc2-4b0f-8d86-ab224dfebef0
168 Sushi Japanese Buffet,2366 Dundas St W Mississauga ON L5K 1R7,Restaurant,2023-12-07,,location.href = '/Portal/Facility/Details/38e8c6d3-2096-4c05-84b6-53932fd76c3f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/38e8c6d3-2096-4c05-84b6-53932fd76c3f
180 Drinks,20-400 Matheson Blvd E Mississauga ON L4Z 1N8,Food Take Out,,,location.href = '/Portal/Facility/Details/209f26d6-22a6-4e89-ad0f-d1271052a38a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/209f26d6-22a6-4e89-ad0f-d1271052a38a
1tonamara,237 Queen St Brampton ON L6W 2B5,Restaurant,,,location.href = '/Portal/Facility/Details/9e21ee9d-f263-436f-859c-4ee3a449e0cd' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9e21ee9d-f263-436f-859c-4ee3a449e0cd
2 4 1 Pizza,1201 Hurontario St Mississauga ON L5G 3H2,Food Take Out,2024-02-29,,location.href = '/Portal/Facility/Details/de2f720e-62a6-4200-8ed4-45eeec35fd8c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/de2f720e-62a6-4200-8ed4-45eeec35fd8c
2 4 1 Pizza,102-2155 Leanne Blvd Mississauga ON L5K 2K8,Food Take Out,2024-03-01,,location.href = '/Portal/Facility/Details/032db871-efdb-4d20-b737-3aa6e35fd1c4' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/032db871-efdb-4d20-b737-3aa6e35fd1c4
2 4 1 Pizza,9-2980 Crosscurrent Dr Mississauga ON L5N 7C7,Food Take Out,2023-10-24,,location.href = '/Portal/Facility/Details/65759bc9-5ad7-4d8c-84d6-250725d9d4bc' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/65759bc9-5ad7-4d8c-84d6-250725d9d4bc
2 4 1 Pizza,17-1125 Bloor St Mississauga ON L4Y 2N6,Restaurant,2024-02-22,,location.href = '/Portal/Facility/Details/ec900e19-9f8d-4d75-9d83-9bdb85bda5df' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ec900e19-9f8d-4d75-9d83-9bdb85bda5df
2 4 1 Pizza,9-700 Balmoral Dr Brampton ON L6T 1X2,Food Take Out,2024-02-13,,location.href = '/Portal/Facility/Details/ef4a3ea6-b5e8-4003-8608-9176377fc0a7' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ef4a3ea6-b5e8-4003-8608-9176377fc0a7
2 Bicas,15-2 Fisherman Dr Brampton ON L7A 1B7,Restaurant,2023-10-17,,location.href = '/Portal/Facility/Details/fef63716-4984-4500-8b76-d9d4a7ef2de2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/fef63716-4984-4500-8b76-d9d4a7ef2de2
241 Pizza,49 Kennedy Rd N Brampton ON L6V 1X6,Food Take Out,2023-11-17,,location.href = '/Portal/Facility/Details/4af08748-218b-4716-a9ad-d7281c638886' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/4af08748-218b-4716-a9ad-d7281c638886
3 4 1 Pizza & Wings,14-2 Kennedy Rd S ON L6W 3E1,Food Take Out,2024-02-27,,location.href = '/Portal/Facility/Details/10355191-88c5-4bbb-ad21-a87b03b8cd7c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/10355191-88c5-4bbb-ad21-a87b03b8cd7c
3 Castelos Grill House/Vilamor Cafe,1030 Dundas St E Mississauga ON L4Y 2B6,Restaurant,2024-03-18,,location.href = '/Portal/Facility/Details/2d6abb27-6711-4eb1-b40a-b5e27876ef21' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/2d6abb27-6711-4eb1-b40a-b5e27876ef21
3 Food Street,71-4700 Ridgeway Dr Mississauga ON L5M 7C4,Restaurant,2024-03-08,,location.href = '/Portal/Facility/Details/44ffa006-0e3c-4ff0-9d6a-1530e269105a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/44ffa006-0e3c-4ff0-9d6a-1530e269105a
3 for 2 Pizza & Wings,13-4646 Heritage Hills Blvd Mississauga ON L5R 3K5,Food Take Out,2023-12-06,,location.href = '/Portal/Facility/Details/14134ef4-c43f-4b8e-873f-8532c97fefdd' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/14134ef4-c43f-4b8e-873f-8532c97fefdd
360 Daily,9-168 Kennedy Rd S Brampton L6Y 6E6,Food Store (e.g. Convenience/Variety),2024-02-07,,location.href = '/Portal/Facility/Details/77f07b21-abf5-44ff-be6b-9a3e5500bc08' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/77f07b21-abf5-44ff-be6b-9a3e5500bc08
3CD Hotdogs & Sausages Refreshment Cart,5725 Rose Cherry Pl Mississauga ON L4X 4B6,Snack Bar/Refreshment Stand,,,location.href = '/Portal/Facility/Details/bbeeaaf6-88ad-4a62-a739-68351c4f2a94' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/bbeeaaf6-88ad-4a62-a739-68351c4f2a94
3STARS&ASUN,9-4665 Central Pkwy E Mississauga ON L4Z 2V5,Food Store (e.g. Convenience/Variety),2023-01-20,,location.href = '/Portal/Facility/Details/17a5487d-530a-4b6a-97b7-e0ee29e95f04' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/17a5487d-530a-4b6a-97b7-e0ee29e95f04
401 Flavors Inc.,1385 Shawson Dr Mississauga ON L4W 1C4,Restaurant,2024-04-19,,location.href = '/Portal/Facility/Details/17d8dac5-38d7-4520-8402-68f23b188dbf' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/17d8dac5-38d7-4520-8402-68f23b188dbf
5 Noodles,106-165 Dundas St W Mississauga ON L5B 2N6,Restaurant,2024-04-23,,location.href = '/Portal/Facility/Details/934e1e71-0f7e-4d93-80bc-8e1297c06b32' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/934e1e71-0f7e-4d93-80bc-8e1297c06b32
5 Tara Indian Cuisine,15-3960 Eglinton Ave W Mississauga ON L5M 2R9,Restaurant,2023-11-30,,location.href = '/Portal/Facility/Details/9b414ecc-978e-49db-89e5-4855cde6f4c8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9b414ecc-978e-49db-89e5-4855cde6f4c8
520 Sushi,7-252 Queen St E Brampton ON L6V 1C1,Restaurant,2024-01-25,,location.href = '/Portal/Facility/Details/22c11ff7-b565-4516-8885-fc8235a4be1b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/22c11ff7-b565-4516-8885-fc8235a4be1b
52nd Street Tap & Grill,A-30A Kennedy Rd S Brampton ON L6W 3E2,Restaurant,2024-04-29,,location.href = '/Portal/Facility/Details/da69ed63-a37a-473a-b2f2-9c9dc6a6a2c2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/da69ed63-a37a-473a-b2f2-9c9dc6a6a2c2
6ixty Wings,15400 Hurontario St Caledon ON L7C 2C3,Restaurant,2024-02-06,,location.href = '/Portal/Facility/Details/cc964373-08a1-4d47-985b-00cf897ac94d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/cc964373-08a1-4d47-985b-00cf897ac94d
6ixty Wings,11-34 Avondale Blvd Brampton ON L6T 1H3,Restaurant,2024-03-05,,location.href = '/Portal/Facility/Details/454f1e89-d12c-4062-add2-e03f3ef186e8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/454f1e89-d12c-4062-add2-e03f3ef186e8
6ixty Wings,1-1650 Dundas St E Mississauga ON L4X 2Z3,Restaurant,2024-01-31,,location.href = '/Portal/Facility/Details/8d6c93df-5660-4f5f-a976-b7bc68288db1' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/8d6c93df-5660-4f5f-a976-b7bc68288db1
6M Fine Foods,53-5359 Timberlea Blvd Mississauga ON L4W 4N5,Catering,2023-12-11,,location.href = '/Portal/Facility/Details/5e1e8621-eefe-4607-8ec1-c1af346ba23b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/5e1e8621-eefe-4607-8ec1-c1af346ba23b
7 Eleven,6980 Lisgar Dr Mississauga ON L5N 8C8,Food Take Out,2024-02-26,,location.href = '/Portal/Facility/Details/5b7f5ba6-1221-4c7b-a589-c7f1b1e51207' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/5b7f5ba6-1221-4c7b-a589-c7f1b1e51207
7 Eleven,6145 Viscount Rd Mississauga ON L4V 1T2,Food Take Out,2023-04-26,,location.href = '/Portal/Facility/Details/0441431a-af94-46a5-997d-fbb6682e6f55' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0441431a-af94-46a5-997d-fbb6682e6f55
7 Eleven,3965 Thomas St Mississauga ON L5M 7B8,Food Take Out,2024-01-31,,location.href = '/Portal/Facility/Details/abfbf35f-afe0-4d56-a809-5869d7756344' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/abfbf35f-afe0-4d56-a809-5869d7756344
7 Eleven - Terminal 1,BT1-L1-6301 Silver Dart Dr Mississauga Ontario L5P 1B2,Food Store (e.g. Convenience/Variety),2024-04-01,,location.href = '/Portal/Facility/Details/621b0bf8-3820-49b0-88f0-7b5f7fa6d4d2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/621b0bf8-3820-49b0-88f0-7b5f7fa6d4d2
7 Eleven Food Store,150 Main St N Brampton ON L6V 1N9,Food Store (e.g. Convenience/Variety),2024-02-14,,location.href = '/Portal/Facility/Details/6010f9a4-5b09-4ff9-ad4c-427e1b68b34c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6010f9a4-5b09-4ff9-ad4c-427e1b68b34c
7 Eleven Food Store #35298,140 Father Tobin Rd Brampton ON L6R 3P1,Food Take Out,2024-02-09,,location.href = '/Portal/Facility/Details/60d67762-57ac-4d15-89a0-d57e8e3e8cfd' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/60d67762-57ac-4d15-89a0-d57e8e3e8cfd
7 Spice Bistro,1-30 Gillingham Dr Brampton ON L6X 4X7,Restaurant,2023-10-17,,location.href = '/Portal/Facility/Details/2f5a2b0b-7df5-49c3-ace5-111b5df3c7ec' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/2f5a2b0b-7df5-49c3-ace5-111b5df3c7ec
7 Star Convenience,2-23 Conservation Dr Brampton ON L6Z 4R3,Food Store (e.g. Convenience/Variety),2023-12-19,,location.href = '/Portal/Facility/Details/7723ed86-75ab-4141-a2f3-23db52d2d85e' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7723ed86-75ab-4141-a2f3-23db52d2d85e
77 Convenience,5 & 6-5925 Grossbeak Dr Mississauga ON L5N 5W9,Food Store (e.g. Convenience/Variety),2023-09-21,,location.href = '/Portal/Facility/Details/4ec20249-5469-4860-af47-8b733074115a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/4ec20249-5469-4860-af47-8b733074115a
9 Queen,9 Queen St E Brampton ON L6W 2A7,Restaurant,2023-07-25,,location.href = '/Portal/Facility/Details/e230e571-d23e-4de1-a562-f24f0108c748' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e230e571-d23e-4de1-a562-f24f0108c748
A & G Party Hut & Desserts,7202 Airport Road Mississauga,Food Take Out,2024-02-08,,location.href = '/Portal/Facility/Details/5d84547c-268d-4f07-ae49-f3f774bccce3' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/5d84547c-268d-4f07-ae49-f3f774bccce3
A & J Convenience,1-25 John St Mississauga ON L5A 1Y5,Food Store (e.g. Convenience/Variety),2023-10-26,,location.href = '/Portal/Facility/Details/efc261ad-0057-4d87-b100-c967be87a9fa' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/efc261ad-0057-4d87-b100-c967be87a9fa
A & S Take Out & Catering,83-6970 Lisgar Dr Mississauga ON L5N 7E3,Food Take Out,2024-02-09,,location.href = '/Portal/Facility/Details/26242c5f-bbca-4da8-b268-3b4532f788e2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/26242c5f-bbca-4da8-b268-3b4532f788e2
A & W - Terminal 1,AT1-L2-6301 Silver Dart Dr Mississauga Ontario L5P 1B2,Restaurant,2024-03-07,,location.href = '/Portal/Facility/Details/a866b472-5039-44d4-bc2c-9ab2088f0aba' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a866b472-5039-44d4-bc2c-9ab2088f0aba
A Bit of Home,2-1248 Dundas St E Mississauga ON,Food Store (e.g. Convenience/Variety),2024-03-20,,location.href = '/Portal/Facility/Details/bacec2e1-5704-4823-800d-e27c823f1757' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/bacec2e1-5704-4823-800d-e27c823f1757
A Convenience,5-1077 North Service Rd Mississauga ON L4Y 1A6,Food Store (e.g. Convenience/Variety),2023-07-05,,location.href = '/Portal/Facility/Details/bd935a29-3adc-4bd5-8bcf-2d81557e927d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/bd935a29-3adc-4bd5-8bcf-2d81557e927d
A J Billes Distribution Centre - Sodexo,8550 Goreway Dr Brampton ON L6T 5J8,Cafeteria,2024-02-06,,location.href = '/Portal/Facility/Details/7feb1b9a-22ea-4b04-b69b-ccc4366b47e4' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7feb1b9a-22ea-4b04-b69b-ccc4366b47e4
A J Billes Distribution Centre - Tim Hortons,8550 Goreway Dr Brampton ON L6T 5J8,Food Take Out,2024-04-09,,location.href = '/Portal/Facility/Details/6e8bb97d-878e-464e-82f4-cfb6b83b4aef' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6e8bb97d-878e-464e-82f4-cfb6b83b4aef
A Spicy Pot,"22B-1177 Central Pky W, Mississauga ON L5C 4P3",Restaurant,2024-03-19,,location.href = '/Portal/Facility/Details/4e5210af-3b3b-4b96-bcb7-ffbfe79944ad' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/4e5210af-3b3b-4b96-bcb7-ffbfe79944ad
A&D Mart,6-2899 Derry Rd E Mississauga ON L4T 1A6,Food Store (e.g. Convenience/Variety),2023-07-05,,location.href = '/Portal/Facility/Details/f32b20ba-dc20-4720-8f42-2fcb9985ef0d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f32b20ba-dc20-4720-8f42-2fcb9985ef0d
A&R Island Market,10-333 Fairhill Ave Brampton ON L7A 3N9,Butcher Shop,2024-04-08,,location.href = '/Portal/Facility/Details/c1c54d12-c48a-4201-b53e-350816150932' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c1c54d12-c48a-4201-b53e-350816150932
A&W,5880 Mavis Rd Mississauga ON L5V 3B7,Restaurant,2024-02-06,,location.href = '/Portal/Facility/Details/c83c12a8-8307-4a15-901e-36e9fae05278' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c83c12a8-8307-4a15-901e-36e9fae05278
A&W,12700-Hwy 50 Bolton ON L7E 1L9,Food Take Out,2024-03-08,,location.href = '/Portal/Facility/Details/eee8a2f0-530c-440c-9c70-2d2cba56e197' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/eee8a2f0-530c-440c-9c70-2d2cba56e197
A&W,1-136-100 City Centre Dr Mississauga ON L5B 2C9,Restaurant,2024-05-06,,location.href = '/Portal/Facility/Details/1637fdb8-2d62-48d8-b5a8-969c8a7fcad7' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/1637fdb8-2d62-48d8-b5a8-969c8a7fcad7
A&W,1130 Dundas St E Mississauga ON L4Y 2C1,Restaurant,2024-01-05,,location.href = '/Portal/Facility/Details/eb949774-58d5-489f-a968-9146b69a05ef' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/eb949774-58d5-489f-a968-9146b69a05ef
A&W,731-25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2024-03-25,,location.href = '/Portal/Facility/Details/6dbd7936-9765-4642-9741-8951d7a74db8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6dbd7936-9765-4642-9741-8951d7a74db8
A&W,5 Sandalwood Pkwy W Brampton ON L7A 1J6,Food Take Out,2024-03-27,,location.href = '/Portal/Facility/Details/b34a01c7-cf0b-4d89-ab7f-a306b933ec1c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b34a01c7-cf0b-4d89-ab7f-a306b933ec1c
A&W,1990 Hallstone Rd Brampton ON L6Y 0L7,Restaurant,2024-01-17,,location.href = '/Portal/Facility/Details/6710c1ae-57bc-414c-bd9d-a5ae397daf9b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6710c1ae-57bc-414c-bd9d-a5ae397daf9b
A&W,4-733 Central Pky W Mississauga ON L5B 4L1,Restaurant,2024-02-26,,location.href = '/Portal/Facility/Details/d98aaa1e-e3ba-4545-8527-ae3ab65ea31b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d98aaa1e-e3ba-4545-8527-ae3ab65ea31b
A&W,6775 Airport Rd Mississauga ON L4V 1E6,Restaurant,2023-12-11,,location.href = '/Portal/Facility/Details/f5aa5d3b-4653-4612-9626-65b5548e5cde' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f5aa5d3b-4653-4612-9626-65b5548e5cde
A&W,1465 Aerowood Dr Mississauga ON L4W 2L2,Restaurant,2024-01-05,,location.href = '/Portal/Facility/Details/e0447c8f-9def-4eb2-8b6f-65dce13f4a03' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e0447c8f-9def-4eb2-8b6f-65dce13f4a03
A&W,120 Brickyard Way Brampton ON L6V 4L1,Restaurant,2023-11-06,,location.href = '/Portal/Facility/Details/c8d1d028-c51d-4617-9d9c-5f360e2db54e' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c8d1d028-c51d-4617-9d9c-5f360e2db54e
A&W,121 Kennedy Rd N Brampton ON L6V 1X7,Food Take Out,2024-03-05,,location.href = '/Portal/Facility/Details/7badb48e-9edd-40fc-af4f-fc4d0b84e3da' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7badb48e-9edd-40fc-af4f-fc4d0b84e3da
A&W,2930 Argentia Rd Mississauga ON L5N 8C5,Restaurant,2024-04-02,,location.href = '/Portal/Facility/Details/5918bef4-3735-4da9-a46a-ea93b145ab9a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/5918bef4-3735-4da9-a46a-ea93b145ab9a
A&W,75 Resolution Dr Brampton ON L6W 0A6,Restaurant,2024-04-11,,location.href = '/Portal/Facility/Details/fe8732e7-cea2-4d30-8e47-eace610dfd0d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/fe8732e7-cea2-4d30-8e47-eace610dfd0d
A&W,74-1250 South Service Rd Mississauga ON L5E 1V4,Food Take Out,2024-02-21,,location.href = '/Portal/Facility/Details/027a83df-60ff-44d0-a24f-d523ecb539ab' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/027a83df-60ff-44d0-a24f-d523ecb539ab
A&W,5 Ace Dr Brampton ON L6R 3Y2,Food Take Out,2024-03-15,,location.href = '/Portal/Facility/Details/45a86d2c-f0b3-4fe3-9bee-d63191cbe93d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/45a86d2c-f0b3-4fe3-9bee-d63191cbe93d
A&W,2464 Queen St E Brampton ON L6S 5X9,Restaurant,2024-01-15,,location.href = '/Portal/Facility/Details/724cf52f-b57c-4159-b877-c0d73f49aa57' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/724cf52f-b57c-4159-b877-c0d73f49aa57
A&W,183B-499 Main St S Brampton ON L6Y 1N7,Food Take Out,2023-10-02,,location.href = '/Portal/Facility/Details/53251ad2-27c8-47d2-9f25-b48aa2da5c99' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/53251ad2-27c8-47d2-9f25-b48aa2da5c99
A&W #4478,305 Fogal Rd Brampton ON L6P 4R2,Food Take Out,2023-11-08,,location.href = '/Portal/Facility/Details/d431c58c-9b25-4e5a-906a-0b2769de820c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d431c58c-9b25-4e5a-906a-0b2769de820c
A&W Erin Mills,F9-5100 Erin Mills Pky Mississauga ON L5M 4Z5,Food Take Out,2024-03-19,,location.href = '/Portal/Facility/Details/db06cad5-404c-4aac-b91f-1306b27bc86e' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/db06cad5-404c-4aac-b91f-1306b27bc86e
"A.C.E Daycare Mississauga, Inc.",5575 Bonnie St Mississauga ON L5M 0N8,IPAC - Child Care - Off-site Food Preparation,2024-01-25,,location.href = '/Portal/Facility/Details/97124707-1f27-45a9-b035-5d8aaa42fe93' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/97124707-1f27-45a9-b035-5d8aaa42fe93
A.S.A. Meats & West Indian Grocery Inc.,10086 Hurontario St N Brampton ON L7A 1E5,Multi-unit Food Store,2023-03-28,,location.href = '/Portal/Facility/Details/a2cc858b-dce6-440c-8ace-1c6b96300a80' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a2cc858b-dce6-440c-8ace-1c6b96300a80
A.S.A. Meats & West Indian Grocery Inc. - Bakery,10086 Hurontario St N Brampton ON L7A 1E5,Multi-unit Food Store,2023-01-20,,location.href = '/Portal/Facility/Details/ea2950ca-3a44-47c6-bd9f-57100e9bf112' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ea2950ca-3a44-47c6-bd9f-57100e9bf112
A.S.A. Meats & West Indian Grocery Inc. - Butcher Shop,10086 Hurontario St N Brampton ON L7A 1E5,Multi-unit Food Store,2023-05-12,,location.href = '/Portal/Facility/Details/1ab24fcf-e81d-4f2b-bbb8-823c5e4701fd' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/1ab24fcf-e81d-4f2b-bbb8-823c5e4701fd
A.S.A. Meats & West Indian Grocery Inc. - Food Take Out,10086 Hurontario St N Brampton ON L7A 1E5,Multi-unit Food Store,2023-09-27,,location.href = '/Portal/Facility/Details/e62f8e58-4d02-4afc-b3fa-87c9bee14e5b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e62f8e58-4d02-4afc-b3fa-87c9bee14e5b
A1 Donuts,H13-2150 Burnhamthorpe Rd W Mississauga ON L5L 3A2,Food Take Out,2024-02-28,,location.href = '/Portal/Facility/Details/ae89fe77-52d3-4525-a875-4fa0cfb2d3fc' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ae89fe77-52d3-4525-a875-4fa0cfb2d3fc
A1 Georges Convenience,20-10088 McLaughlin Rd Brampton ON L7A 2X6,Food Store (e.g. Convenience/Variety),,,location.href = '/Portal/Facility/Details/790fd545-7e37-48cd-8844-3bb3c308c61d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/790fd545-7e37-48cd-8844-3bb3c308c61d
