Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result,url_entity_partial,category,url_entity_full
Gladioli Medi Spa Salon inside Pro Beauty Supply & Suite,13-650 Matheson Blvd W Mississauga ON L5R 3T2,Hair Dressing / Barbering,2023-05-11,,location.href = '/Portal/Facility/Details/04507907-9dd4-4b79-9ad5-78981fef8a0f' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/04507907-9dd4-4b79-9ad5-78981fef8a0f
Gladioli Medi Spa Salon inside Pro Beauty Supply & Suite,1C-17 650 Matheson Blvd W Mississauga ON L5R 3T2,Aesthetics,2023-05-11,,location.href = '/Portal/Facility/Details/7da245ec-7b7a-4cce-a47c-b1c920fbd40b' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7da245ec-7b7a-4cce-a47c-b1c920fbd40b
Glam A Ray,13 Maverick Cres Brampton Ontario L6R 3E5,Aesthetics,2023-03-17,,location.href = '/Portal/Facility/Details/128f8eb7-22a5-403b-a9bc-9826eb0b7e26' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/128f8eb7-22a5-403b-a9bc-9826eb0b7e26
Glam Beauty Concept,86 Education Rd Brampton Ontario L6P 3W3,Aesthetics,2023-04-11,,location.href = '/Portal/Facility/Details/7188f2f4-ab21-4b52-8d78-f4898c246d79' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7188f2f4-ab21-4b52-8d78-f4898c246d79
Glam Beauty Salon,340 Main St N Brampton ON L6V 1P8,Manicure / Pedicure,2023-11-22,,location.href = '/Portal/Facility/Details/45bc66b2-3110-4303-94b2-143d9bb69e22' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/45bc66b2-3110-4303-94b2-143d9bb69e22
Glam Hair Studio,10-650 Matheson Blvd W Mississauga ON L5R 3T2,Hair Dressing / Barbering,2023-11-02,,location.href = '/Portal/Facility/Details/bc2a6f9d-8174-474f-9cae-f0e8c1dbee47' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/bc2a6f9d-8174-474f-9cae-f0e8c1dbee47
Glamistra Beauty,103B-9780 Bramalea Rd Brampton Ontario L6S 2P1,Aesthetics,2024-04-05,,location.href = '/Portal/Facility/Details/a454b097-ecd7-40ee-acdc-64106e4edf5c' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a454b097-ecd7-40ee-acdc-64106e4edf5c
Glamore Beauty Bar,16 Main St S Brampton ON L6W 2C3,Micropigmentation,2023-04-20,,location.href = '/Portal/Facility/Details/ddcafa2a-8647-4906-9b55-0947c6db1bda' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ddcafa2a-8647-4906-9b55-0947c6db1bda
Glamorous Beauty Salon & Spa Inc,11-375 Howden Blvd Brampton ON L6S 4L6,Manicure / Pedicure,2023-12-21,,location.href = '/Portal/Facility/Details/20be9ab1-360d-4aab-afba-3427b328849b' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/20be9ab1-360d-4aab-afba-3427b328849b
Glamour Hair Salon,32-377 Burnhamthorpe Rd E Mississauga ON L5A 3Y1,Hair Dressing / Barbering,2023-09-28,,location.href = '/Portal/Facility/Details/7fd3fa1f-1261-44fb-8d04-8e4dd8b0aa5e' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7fd3fa1f-1261-44fb-8d04-8e4dd8b0aa5e
