Facility Name,Site Address,Last Inspection Date,Colour Posting,url_entity_partial,category,Type,Legislation,Status,Offence Date,Description,Status Updated,url_entity_full
Suki Salon Spa,141 King St  London ON N6A 1C3,10/03/2022,,location.href = '/Portal/Facility/Details/803dfec9-10e8-451d-99c2-718ffdad54c2' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/803dfec9-10e8-451d-99c2-718ffdad54c2
Boomtown Tattoos Inc.,159 Albert St  London ON N6A 1L9,09/15/2022,,location.href = '/Portal/Facility/Details/8717d528-5af7-495b-bb3d-93043bae0d1f' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/8717d528-5af7-495b-bb3d-93043bae0d1f
Hanger 18,417 Richmond St  London ON N6A 3C8,09/01/2022,,location.href = '/Portal/Facility/Details/982069b8-cf30-437b-8dea-70c64fa96e47' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/982069b8-cf30-437b-8dea-70c64fa96e47
Lujo Hair,255-105 Queens Ave  London ON N6A 5R8,08/31/2022,,location.href = '/Portal/Facility/Details/819d0f97-6bf6-4452-9153-fc60db75154f' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/819d0f97-6bf6-4452-9153-fc60db75154f
Shades of Hair,429 Colborne St  London ON N6B 2T2,08/18/2022,,location.href = '/Portal/Facility/Details/00d12f31-6d7c-492b-a786-3495930c7c94' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/00d12f31-6d7c-492b-a786-3495930c7c94
Ideas Hair & Beauty,424 Hamilton Road  London Ontario N5Z 1R9,07/21/2022,,location.href = '/Portal/Facility/Details/dfc62a47-7d97-4763-a9d1-e02db6f84d0a' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/dfc62a47-7d97-4763-a9d1-e02db6f84d0a
King's Blades Barbershop,3-1876 Oxford St W  London ON N6K 0J8,05/24/2022,,location.href = '/Portal/Facility/Details/e6a79e23-fe9c-44cc-8e89-dac17a384931' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/e6a79e23-fe9c-44cc-8e89-dac17a384931
Prosperity Nails,589 Cheapside St  London ON N5Y 3X9,03/11/2022,,location.href = '/Portal/Facility/Details/335ac981-91f1-4d5c-881a-ced61b2f0d58' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/335ac981-91f1-4d5c-881a-ced61b2f0d58
Brows by Vivi,103 King St  London ON N6A 6K1,03/08/2022,,location.href = '/Portal/Facility/Details/f0554aee-6e53-423a-927a-dd14ce64c1b6' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/f0554aee-6e53-423a-927a-dd14ce64c1b6
631-744018577,3511 Loyalist Crt  London Ontario N6P 0A5,,,location.href = '/Portal/Facility/Details/49a8009e-522b-417b-8cde-4a41eb873fa9' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/49a8009e-522b-417b-8cde-4a41eb873fa9
Angry Bear Barbershop - Rocky's Harley Davidson,900 Wilton Grove  Rd. London ON N6N 1C7,,,location.href = '/Portal/Facility/Details/ac61b7ca-2d29-4960-a7f8-17166746e46b' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/ac61b7ca-2d29-4960-a7f8-17166746e46b
Blue Rose Ink,917 Blacksmith St  London ON N6H 5R5,,,location.href = '/Portal/Facility/Details/1da072ad-ff83-4772-b3fb-f83e54a86169' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/1da072ad-ff83-4772-b3fb-f83e54a86169
Covent Market Nails Spa,22-22 Covent Market Lane  London ON N6A 1E2,,,location.href = '/Portal/Facility/Details/37d461e6-13f8-4e4b-9765-7555ef326c6c' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/37d461e6-13f8-4e4b-9765-7555ef326c6c
DC Hair Group,Building L 1001 Fanshawe College Blvd  London ON N5V 4Y9,,,location.href = '/Portal/Facility/Details/96ceffd1-a6e2-4e94-a5f1-b9b94d520d16' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/96ceffd1-a6e2-4e94-a5f1-b9b94d520d16
Glo Body and Makeup,899 Reeves Ave  London ON N6G 0C2,,,location.href = '/Portal/Facility/Details/f9483943-d5af-4372-95fd-8a75896a4a85' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/f9483943-d5af-4372-95fd-8a75896a4a85
Hollywood Laser Eraser Inc.,956 Ormsby St  London ON N5Z1K4,,,location.href = '/Portal/Facility/Details/7bae6ca9-14f2-4dc9-a2dd-fbf286f4f699' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/7bae6ca9-14f2-4dc9-a2dd-fbf286f4f699
J. Johnston Esthetics,122 Central Ave  London ON N6A 1M5,,,location.href = '/Portal/Facility/Details/535ca790-649a-4892-a4ed-fcfcbf64adb6' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/535ca790-649a-4892-a4ed-fcfcbf64adb6
