Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Risk Rating,Type,Offense,Enforcement,Date Issued,Date Of Conviction,url_entity_full
Lucy's British Afternoon Tea's,323 Gooseberry St  Orangeville ON L9W 5B9,Home-Based Kitchen,,location.href = '/Facility/Details/fadb03cc-3343-4aaa-8d62-574bb9937ca8' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/fadb03cc-3343-4aaa-8d62-574bb9937ca8
Lynbrook Family Golf Snack bar,285316 County Rd 10  Amaranth ON L9W 0Z1,Food Take Out,28-Jul-2023,location.href = '/Facility/Details/c056dbd3-d9cc-4caa-a5d7-0b4e3d0b5a38' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c056dbd3-d9cc-4caa-a5d7-0b4e3d0b5a38
M & M Food Market,B-160 Main St N  Mount Forest ON N0G 2L0,Convenience / Variety,18-Sep-2023,location.href = '/Facility/Details/40cf7161-4438-40fb-aa10-4b7fbf923145' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/40cf7161-4438-40fb-aa10-4b7fbf923145
M & M Food Market,774 Tower St S  Fergus ON N1M 2R3,Convenience / Variety,26-Oct-2023,location.href = '/Facility/Details/712f6f55-4ef9-44e8-b574-85d5cce2b428' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/712f6f55-4ef9-44e8-b574-85d5cce2b428
M & M Food Market,368 Speedvale Ave E  Guelph ON N1E 1N7,Convenience / Variety,03-Jan-2024,location.href = '/Facility/Details/38838195-295c-4f58-a26c-a93475f41bb1' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/38838195-295c-4f58-a26c-a93475f41bb1
M & M Food Market,926 Paisley Rd  Guelph ON N1K 1V8,Convenience / Variety,07-Dec-2023,location.href = '/Facility/Details/3935e392-8118-4ca9-8444-e395d4b67ba3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/3935e392-8118-4ca9-8444-e395d4b67ba3
M & M Food Market Express,202350 County Rd 109  East Garafraxa ON L9W 7N1,Convenience / Variety,05-Oct-2023,location.href = '/Facility/Details/eec5fe14-b5de-4c2e-990c-7d9fd70049a1' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/eec5fe14-b5de-4c2e-990c-7d9fd70049a1
M & M Meat Shops,47 Broadway  Orangeville ON L9W 4N8,Convenience / Variety,29-May-2023,location.href = '/Facility/Details/c4ff8391-1e73-477f-9df0-134e95d136ea' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c4ff8391-1e73-477f-9df0-134e95d136ea
M Market (The),290 ON-401  Cambridge ON N3C 2V4,Convenience / Variety,19-May-2023,location.href = '/Facility/Details/a74ab94f-2a4a-470b-8a62-e6ff18dd1f4d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a74ab94f-2a4a-470b-8a62-e6ff18dd1f4d
M Market (The),289 ON-401  Cambridge ON N3C 2V4,Convenience / Variety,27-Jun-2023,location.href = '/Facility/Details/16e10416-1fa9-4f3a-8783-ca6bac4bdffd' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/16e10416-1fa9-4f3a-8783-ca6bac4bdffd
M&M Food Market,2-22 Clair Rd W  Guelph ON N1L 1G7,Supermarket,12-Jun-2023,location.href = '/Facility/Details/92d12cca-4c99-4407-b114-8bda928b222f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/92d12cca-4c99-4407-b114-8bda928b222f
Mac n’Wings,25-35 Harvard Rd  Guelph ON N1G 3A2,Restaurant,25-Jan-2024,location.href = '/Facility/Details/1e716943-6ab5-441e-904a-2c638fe0b544' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1e716943-6ab5-441e-904a-2c638fe0b544
