Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Risk Rating,Type,Offense,Enforcement,Date Issued,Date Of Conviction,url_entity_full
Seed - Guelph Community Health Centre (The),20 Shelldale Crescent  Guelph ON N1H 1C8,Community Kitchen,22-Feb-2024,location.href = '/Facility/Details/d2688251-2c7f-4a7c-bbfa-81b51af4eae0' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d2688251-2c7f-4a7c-bbfa-81b51af4eae0
10C Shared Space,42 Carden St  Guelph ON N1H 3A2,Community Kitchen,05-Apr-2024,location.href = '/Facility/Details/bc678f2a-db38-40d6-9581-1a00c4947d51' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/bc678f2a-db38-40d6-9581-1a00c4947d51
2 Queens Café,48 Victoria Rd S  Guelph ON N1E 5P6,Restaurant,14-Mar-2024,location.href = '/Facility/Details/22c81876-c467-4cb5-899a-4af1673caeaf' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/22c81876-c467-4cb5-899a-4af1673caeaf
2-4-1 Pizza,50 Fourth Ave  Orangeville ON L9W 4P1,Food Take Out,14-Feb-2024,location.href = '/Facility/Details/cb5e045d-8af4-42f6-807a-7ecebc237940' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/cb5e045d-8af4-42f6-807a-7ecebc237940
3B2 Bites,735 Industrial Rd  Shelburne ON L0N 1S4,Mobile Preparation Premises,04-May-2023,location.href = '/Facility/Details/e743986b-ea55-4a8e-9dcb-b7e1dfcaa559' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/e743986b-ea55-4a8e-9dcb-b7e1dfcaa559
3Gen Organics,7875 4 Line  Wallenstein ON N0B 2S0,Supermarket,13-Jun-2023,location.href = '/Facility/Details/cfd1f608-fec1-4eaa-bd85-864d00d8000c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/cfd1f608-fec1-4eaa-bd85-864d00d8000c
6ixty Wings,66 Broadway  Orangeville ON L9W 1J8,Food Take Out,13-Feb-2024,location.href = '/Facility/Details/90079f65-2584-489e-927f-e22dd1c85d6d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/90079f65-2584-489e-927f-e22dd1c85d6d
7-Eleven Food Store,268 Broadway  Orangeville ON L9W 1K8,Convenience / Variety,14-Mar-2023,location.href = '/Facility/Details/cd60fe6a-27f1-43a7-bb2f-2b9fadd7b47a' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/cd60fe6a-27f1-43a7-bb2f-2b9fadd7b47a
7-Eleven Food Store,328 Speedvale Ave E  Guelph ON N1H 1N5,Convenience / Variety,03-Jan-2024,location.href = '/Facility/Details/190adbb8-3786-4042-ba31-25c8b4a5aeb3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/190adbb8-3786-4042-ba31-25c8b4a5aeb3
7-Eleven Food Store,585 Eramosa Rd  Guelph ON N1E 2N4,Convenience / Variety,01-Jun-2023,location.href = '/Facility/Details/1abf5417-b973-42b4-834b-023f50405446' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1abf5417-b973-42b4-834b-023f50405446
A & W Restaurant,843 Tower St S  Fergus ON N1M 2R2,Restaurant,27-Nov-2023,location.href = '/Facility/Details/5acd8a49-6713-49ab-ab42-0079cb60efc9' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/5acd8a49-6713-49ab-ab42-0079cb60efc9
A & W Restaurant,20 Wellington St E  Guelph ON N1H 3R8,Restaurant,08-Jan-2024,location.href = '/Facility/Details/a7a496b1-1746-4d3c-9c56-04473ba19b7d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a7a496b1-1746-4d3c-9c56-04473ba19b7d
A & W Restaurant,435 Stone Rd W  Guelph ON N1G 2X6,Food Take Out,06-Nov-2023,location.href = '/Facility/Details/0035dfce-eba0-4b6b-a5e1-249bc478ad82' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0035dfce-eba0-4b6b-a5e1-249bc478ad82
A & W Restaurant,44 Broadway  Orangeville ON L9W 1J4,Restaurant,07-Feb-2024,location.href = '/Facility/Details/0083c017-93a1-4295-b491-302b215c05ae' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0083c017-93a1-4295-b491-302b215c05ae
A & W Restaurant,289 ON-401  Cambridge ON N3C 2V4,Food Take Out,14-Nov-2023,location.href = '/Facility/Details/5a3cf106-6eb7-431b-a8fe-4119bfe9fbd2' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/5a3cf106-6eb7-431b-a8fe-4119bfe9fbd2
A & W Restaurant,292 Brock Rd S  Puslinch ON N0B 2J0,Restaurant,04-Mar-2024,location.href = '/Facility/Details/da562d8a-26c7-458f-9c0f-5b28f2dab564' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/da562d8a-26c7-458f-9c0f-5b28f2dab564
A & W Restaurant,618 Main St N  Mount Forest ON N0G 2L2,Restaurant,26-Jan-2024,location.href = '/Facility/Details/9251693d-8b29-45df-8f5e-5cc6b0395fad' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9251693d-8b29-45df-8f5e-5cc6b0395fad
A & W Restaurant,555 Woodlawn Rd W  Guelph ON N1K 1B8,Restaurant,16-Jan-2024,location.href = '/Facility/Details/02ceeb48-36a0-400b-878d-b98d3936fa6c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/02ceeb48-36a0-400b-878d-b98d3936fa6c
A Child's First Steps Child Care Center Inc.,633329 ON-10  Orangeville ON L9V 1A3,Child Care Onsite Prep,22-Jan-2024,location.href = '/Facility/Details/d7c0a8ab-d98c-4c25-81b1-e568d98f2b5f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d7c0a8ab-d98c-4c25-81b1-e568d98f2b5f
A Gentle Man,30 Eleanor Court  Guelph ON N1E 1S8,Food Caterer,12-Oct-2023,location.href = '/Facility/Details/8e8138fb-7264-41de-9cab-1fcb8b5bdc98' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/8e8138fb-7264-41de-9cab-1fcb8b5bdc98
A la mode,12 Wellington St N  Drayton ON N0G 1P0,Restaurant,08-Jan-2024,location.href = '/Facility/Details/731efdbe-8661-4cc5-9cea-4d1afa042107' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/731efdbe-8661-4cc5-9cea-4d1afa042107
A Quick Stop Variety,204 Yorkshire St N  Guelph ON N1H 1B2,Convenience / Variety,07-Dec-2023,location.href = '/Facility/Details/78b14e21-03ea-4d3e-a63c-a441b320afe8' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/78b14e21-03ea-4d3e-a63c-a441b320afe8
Aberfoyle Mill Fine Foods,80 Brock Rd S  Puslinch ON N1H 6H9,Restaurant,17-Apr-2024,location.href = '/Facility/Details/2eaf47c0-fe7c-4eef-a849-3b886b99f256' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/2eaf47c0-fe7c-4eef-a849-3b886b99f256
Absolute Catering,633432 ON-10  Mono ON L9W 5P3,Food Caterer,16-Nov-2023,location.href = '/Facility/Details/455eae31-2620-4bc3-ac3c-9eb2ed7b555a' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/455eae31-2620-4bc3-ac3c-9eb2ed7b555a
Acton Golf Club,4955 First Line  Erin ON L7J 2M2,Restaurant,07-Sep-2023,location.href = '/Facility/Details/68785d3d-02b2-4b9f-95bf-c16a4acab5ac' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/68785d3d-02b2-4b9f-95bf-c16a4acab5ac
Adamo Estate Winery,793366 3rd Line  Mono ON L9W 5X7,Restaurant,19-Mar-2024,location.href = '/Facility/Details/c8d95807-994f-4e1a-98f8-1e59c9ee9f60' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c8d95807-994f-4e1a-98f8-1e59c9ee9f60
Adobo Fresh Burrito,28-328 Speedvale Avenue East  Guelph ON N1E 1N5,Restaurant,08-Jan-2024,location.href = '/Facility/Details/9a212b9b-cc6f-4f05-9991-c70f56f13d6d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9a212b9b-cc6f-4f05-9991-c70f56f13d6d
Adulis Caffe,23-130 Silvercreek Pkwy N  Guelph ON N1H 7Y5,Restaurant,04-Apr-2024,location.href = '/Facility/Details/6e86ce98-033c-4f5f-a0f3-56c7e6878b76' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/6e86ce98-033c-4f5f-a0f3-56c7e6878b76
Airpark Cafe,50 Skyway Dr  Guelph ON,Restaurant,10-Nov-2023,location.href = '/Facility/Details/42cd9e25-a293-44e5-8a0b-5e956a0a25d8' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/42cd9e25-a293-44e5-8a0b-5e956a0a25d8
Alma Community Centre,51 Simpson St E  Alma ON N0B 1A0,Banquet Hall,15-May-2023,location.href = '/Facility/Details/d550adf8-0e1d-4b76-a547-9329ecf82f15' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d550adf8-0e1d-4b76-a547-9329ecf82f15
Alma Town Convenience,3 Peel St W  Alma ON N0B 1A0,Convenience / Variety,26-Feb-2024,location.href = '/Facility/Details/31c41d84-7b06-4cb8-8910-b05b7fedf855' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/31c41d84-7b06-4cb8-8910-b05b7fedf855
Alter Eat-O,23 Garibaldi St  Guelph ON N1E 5P3,Food Caterer,13-Mar-2024,location.href = '/Facility/Details/d675d63a-c36f-4978-a3a0-3d6a7295ef37' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d675d63a-c36f-4978-a3a0-3d6a7295ef37
Amaranth Municipal Community Kitchen,374028 6th Line  Amaranth ON L9W 0M6,Banquet Hall,31-Aug-2023,location.href = '/Facility/Details/082e45d4-d75c-4ccf-9534-b74175728a53' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/082e45d4-d75c-4ccf-9534-b74175728a53
Angelino's Fresh Choice Market,16 Stevenson St S  Guelph ON N1E 5N1,Supermarket,08-Mar-2024,location.href = '/Facility/Details/0357ad20-3147-47b0-a12b-9a09b5d310f3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0357ad20-3147-47b0-a12b-9a09b5d310f3
Angel's Diner,23 Wellington St E  Guelph ON N1H 3R7,Restaurant,02-Jan-2024,location.href = '/Facility/Details/a55b3367-948e-4dcd-babf-16ddd8139754' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a55b3367-948e-4dcd-babf-16ddd8139754
Angel's Diner,33 Broadway  Orangeville ON L9W 1J7,Restaurant,11-Apr-2024,location.href = '/Facility/Details/7328f9a1-103f-41be-9264-f3fc2903f38c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/7328f9a1-103f-41be-9264-f3fc2903f38c
Anytime Convenience,484 Woodlawn Rd E  Guelph ON N1E 1B9,Convenience / Variety,08-Jun-2023,location.href = '/Facility/Details/5178e124-008a-4903-b9e2-60293121d096' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/5178e124-008a-4903-b9e2-60293121d096
Appleseed Childcare Centre - Food,5395 Wellington Rd 52  Erin ON N0B 1T0,Child Care Onsite Prep,12-Jan-2024,location.href = '/Facility/Details/3d5aaf5a-a48d-46d0-9b4b-964f8ae688fd' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/3d5aaf5a-a48d-46d0-9b4b-964f8ae688fd
Arc Industries,8 Royal Rd  Guelph ON N1H 1G3,Cafeteria,15-Apr-2024,location.href = '/Facility/Details/735a1548-d3e4-4c57-8141-115c57a9c85f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/735a1548-d3e4-4c57-8141-115c57a9c85f
Ariss Valley Golf and Country Club,5700 Wellington Rd 86  Ariss ON N0B 1B0,Restaurant,18-Apr-2024,location.href = '/Facility/Details/f9357ca9-5b05-4363-a9f3-4540e433677f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/f9357ca9-5b05-4363-a9f3-4540e433677f
Arkell United Church,600 Arkell Rd  Arkell ON N0B 1C0,Church Banquet Facility,02-Nov-2023,location.href = '/Facility/Details/81474601-10ba-4884-b64c-7d4840fdabf3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/81474601-10ba-4884-b64c-7d4840fdabf3
"Army, Navy and Air Force Veterans",32 Gordon St  Guelph ON N1H 4H1,Banquet Hall,04-Dec-2023,location.href = '/Facility/Details/029c4190-ea9e-4a5b-a82f-92970049d6ba' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/029c4190-ea9e-4a5b-a82f-92970049d6ba
Arthur Arena,158 Domville St  Arthur ON N0G 1A0,Banquet Hall,30-Aug-2023,location.href = '/Facility/Details/9952b10e-d247-436b-ac7a-355fcab38118' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9952b10e-d247-436b-ac7a-355fcab38118
Arthur Curling Club,160 Domville St  Arthur ON N0B 1A0,Banquet Hall,30-Aug-2023,location.href = '/Facility/Details/dc5c32cb-3b68-4a87-a8e5-06c3658ba436' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/dc5c32cb-3b68-4a87-a8e5-06c3658ba436
Asian Food Centre,8-340 Woodlawn Rd W  Guelph ON N1H 7K6,Supermarket,11-Mar-2024,location.href = '/Facility/Details/4765fbdc-8f8f-4a21-b20e-5a9dd937127f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/4765fbdc-8f8f-4a21-b20e-5a9dd937127f
Asian Food Centre Restaurant,9-340 Woodlawn Rd W  Guelph ON N1H 7K6,Restaurant,11-Mar-2024,location.href = '/Facility/Details/77369bce-e69a-4f5d-a5ed-ad7f23844745' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/77369bce-e69a-4f5d-a5ed-ad7f23844745
Asmara Lounge and Restaurant,138-355 Elmira Rd N  Guelph ON N1K 1S5,Restaurant,06-Mar-2024,location.href = '/Facility/Details/d2037077-63ed-4577-8a41-a4c7fad51c95' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d2037077-63ed-4577-8a41-a4c7fad51c95
Athlete Institute,207315 ON-9  Caledon ON L7K 2A2,Cafeteria,25-Sep-2023,location.href = '/Facility/Details/0e36bb22-31ef-4b49-9626-b672f6eda8f9' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0e36bb22-31ef-4b49-9626-b672f6eda8f9
Atmosphere Café + Etc.,24 Carden St  Guelph ON N1H 3A2,Restaurant,06-Mar-2024,location.href = '/Facility/Details/27434c72-286b-457e-b06b-49a569a870ba' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/27434c72-286b-457e-b06b-49a569a870ba
Auntie Joy's Springrolls,75 First St  Orangeville ON L9W 2E7,Restaurant,03-Jan-2024,location.href = '/Facility/Details/59d2962f-5ad2-4d49-8345-0768c48fbdfe' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/59d2962f-5ad2-4d49-8345-0768c48fbdfe
Avalon Care Centre,355 Broadway  Orangeville ON L9W 3Y3,Long Term Care Facility,22-Mar-2024,location.href = '/Facility/Details/8ec7a061-de0b-4c1b-8520-00e733970402' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/8ec7a061-de0b-4c1b-8520-00e733970402
Avalon Care Centre,355 Broadway  Orangeville ON L9W 3Y3,Retirement Home,19-Mar-2024,location.href = '/Facility/Details/b9e69c2a-11a4-4974-8c84-a15dbea92cdf' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/b9e69c2a-11a4-4974-8c84-a15dbea92cdf
B & A Garden,107 Wellington St W  Mount Forest ON N0G 2L1,Restaurant,21-Feb-2024,location.href = '/Facility/Details/7e2fc0f9-474b-4c94-b6fb-09fe4b056e5d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/7e2fc0f9-474b-4c94-b6fb-09fe4b056e5d
B Mini Mart,94 Carden St  Guelph ON N1H 3A3,Convenience / Variety,30-Nov-2023,location.href = '/Facility/Details/b2d64760-b274-4b53-89d7-88a356642b79' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/b2d64760-b274-4b53-89d7-88a356642b79
B Social,275 Alder St  Orangeville ON L9W 5H6,Food Take Out,20-Mar-2023,location.href = '/Facility/Details/6c32c89b-f59f-4516-be91-b6e7e5af1213' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/6c32c89b-f59f-4516-be91-b6e7e5af1213
B Social Cafe,10 Louisa St  Orangeville ON L9W 3P9,Restaurant,03-Jul-2019,location.href = '/Facility/Details/edeb3b80-707e-4a7e-8fa6-ab49d867688d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/edeb3b80-707e-4a7e-8fa6-ab49d867688d
B Social Cafe (Edelbrock Centre),30 Center Street  Orangeville ON L9W 2X1,Food Take Out,07-Nov-2023,location.href = '/Facility/Details/0a47fa49-80c3-4e43-9458-c984b1daf95d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0a47fa49-80c3-4e43-9458-c984b1daf95d
B Social Snack Bar,6 Northmen Way  Orangeville ON L9W 3B2,Snack Bar / Refreshment Stand,07-Feb-2023,location.href = '/Facility/Details/93f523e3-4453-4225-bc70-d21ad9b34d01' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/93f523e3-4453-4225-bc70-d21ad9b34d01
B.B.'S Bakery,22 First St  Orangeville ON L9W 2C7,Bakery - Production,23-Apr-2024,location.href = '/Facility/Details/d64a2d7d-1686-45c3-bc2c-7ad3fc7c534b' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d64a2d7d-1686-45c3-bc2c-7ad3fc7c534b
Bad Luck Bar/The Attic,2nd & 3rd floor 59 MacDonell St  Guelph ON N1H 2Z3,Cocktail Bar,16-Nov-2023,location.href = '/Facility/Details/4686d808-f71a-48b6-8440-ffc4e69f4ec2' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/4686d808-f71a-48b6-8440-ffc4e69f4ec2
Badenoch Community Centre,4217 Watson Rd S  Puslinch ON N0B 2J0,Community Kitchen,14-Nov-2023,location.href = '/Facility/Details/eee9d8d2-ffdf-4338-8093-caf0f9c43584' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/eee9d8d2-ffdf-4338-8093-caf0f9c43584
Bailey's Ice Cream,40 Main St  Erin ON N0B 1T0,Ice Cream / Yogurt Vendor,16-Aug-2023,location.href = '/Facility/Details/8fb911d8-f590-4ef8-8cc6-e02f02d342df' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/8fb911d8-f590-4ef8-8cc6-e02f02d342df
Baker Street Station,76 Baker St  Guelph ON N1H 4G1,Restaurant,23-Apr-2024,location.href = '/Facility/Details/5adce110-0058-49e6-b5fc-eb8b9720858a' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/5adce110-0058-49e6-b5fc-eb8b9720858a
Bakery at With the Grain (The),295 Woolwich St  Guelph ON N1H 3W4,Bakery - Production,17-Jan-2024,location.href = '/Facility/Details/a9cd5736-998d-4512-9824-35c7e0b67d76' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a9cd5736-998d-4512-9824-35c7e0b67d76
Baking Me Happy,89 Wellington St S  Drayton ON N0G 1P0,Baked Goods - Retail,20-Sep-2023,location.href = '/Facility/Details/64fd8bc4-caa3-48a3-a4e3-80ac832de509' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/64fd8bc4-caa3-48a3-a4e3-80ac832de509
Ballinafad Community Centre,9382 Halton-Erin Rd  Erin ON N0B 1H0,Banquet Hall,11-Oct-2023,location.href = '/Facility/Details/16438c9a-d93e-47fb-ad3b-7af7f2e0089e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/16438c9a-d93e-47fb-ad3b-7af7f2e0089e
Balzac's Coffee,100-5 Gordon St  Guelph ON N1H 4G8,Restaurant,17-Apr-2024,location.href = '/Facility/Details/244036d5-8456-475e-b2f6-718bc8271002' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/244036d5-8456-475e-b2f6-718bc8271002
Bar on Broadway,114 Broadway  Orangeville ON L9W 1J9,Restaurant,11-Apr-2024,location.href = '/Facility/Details/b056c726-6168-4bbb-82fa-0002373c0498' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/b056c726-6168-4bbb-82fa-0002373c0498
BarBurrito,190 Clair Rd E  Guelph ON N1L 0G6,Restaurant,22-Apr-2024,location.href = '/Facility/Details/9c34ca56-69a1-491c-a5e7-2fd8ef27a551' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9c34ca56-69a1-491c-a5e7-2fd8ef27a551
BarBurrito,7-35 Harvard Rd  Guelph ON N1G 2X9,Restaurant,16-Apr-2024,location.href = '/Facility/Details/ccb7a73e-b87b-4a71-abd4-4e298e074c4e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/ccb7a73e-b87b-4a71-abd4-4e298e074c4e
BarBurrito,119A-119 Silvercreek Pkwy N  Guelph ON N1H 3T2,Restaurant,09-Feb-2024,location.href = '/Facility/Details/51f6918d-b457-4449-b150-5e50568789f0' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/51f6918d-b457-4449-b150-5e50568789f0
BarBurrito,489 Broadway  Orangeville ON L9W 2Y9,Restaurant,10-Jan-2024,location.href = '/Facility/Details/1b7d2093-dcfd-41ce-8f6b-68e75c4621f8' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1b7d2093-dcfd-41ce-8f6b-68e75c4621f8
BarBurrito,2-804 Ojibway Rd  Shelburne ON L9V 3X9,Restaurant,17-Apr-2024,location.href = '/Facility/Details/a2a1f7f4-0a56-4c50-95df-d2a2cf9854a9' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a2a1f7f4-0a56-4c50-95df-d2a2cf9854a9
BarBurrito,75 First St  Orangeville ON L9W 2E7,Restaurant,24-Jan-2024,location.href = '/Facility/Details/9cfb9534-e01e-477b-a668-cac8ce383b29' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9cfb9534-e01e-477b-a668-cac8ce383b29
BarBurrito Fergus,882 Tower St S  Fergus ON N1M 3N7,Restaurant,07-Feb-2024,location.href = '/Facility/Details/16fc1fd0-3aff-482d-95f7-5925f1dcc5fb' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/16fc1fd0-3aff-482d-95f7-5925f1dcc5fb
Bargain Mart,3-129 Birmingham St W  Mount Forest ON N0G 2L0,Convenience / Variety,24-Apr-2024,location.href = '/Facility/Details/10a229a0-cced-413d-8009-d2f6c89fb8fd' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/10a229a0-cced-413d-8009-d2f6c89fb8fd
Barley Vine Rail Co. (The),35 Armstrong St  Orangeville ON L9W 1J9,Restaurant,08-Feb-2024,location.href = '/Facility/Details/bee2fdc3-eb25-4e4f-ae11-a54bebb68c29' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/bee2fdc3-eb25-4e4f-ae11-a54bebb68c29
Barrel House (The),6275 ON-89  Clifford ON N0G 1M0,Home-Based Kitchen,13-Jul-2023,location.href = '/Facility/Details/9ae760f9-b573-465c-b71f-ce3f610e411c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9ae760f9-b573-465c-b71f-ce3f610e411c
Barrie Hill United Church,5702 Wellington Rd 29  Guelph-Eramosa ON N0B 2K0,Church Banquet Facility,25-Jul-2023,location.href = '/Facility/Details/073d5c08-2e4c-4a06-9a4d-18e6bcca8bb3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/073d5c08-2e4c-4a06-9a4d-18e6bcca8bb3
Baskin Robbins,30-328 Speedvale Ave E  Guelph ON N1E 1N5,Ice Cream / Yogurt Vendor,26-May-2023,location.href = '/Facility/Details/f43876fd-4166-4986-9ad7-fdff4da632eb' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/f43876fd-4166-4986-9ad7-fdff4da632eb
BBQ Hot,7400 Wellington Rd 21  Elora ON N0B 1S0,Mobile Preparation Premises,14-Jun-2023,location.href = '/Facility/Details/76978d52-c99e-4d99-82c9-e7d13f06e825' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/76978d52-c99e-4d99-82c9-e7d13f06e825
Bear Cub Coffee,207321 ON-9  Caledon ON L7K 0G8,Food Take Out,26-Jun-2023,location.href = '/Facility/Details/c09f01a0-334a-4065-85e1-6d02f1605313' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c09f01a0-334a-4065-85e1-6d02f1605313
Bearded Barista Christmas Café,104 Main St S  Rockwood ON N0B 2K0,Restaurant,13-Dec-2023,location.href = '/Facility/Details/3d0c7e70-8bf8-4506-8d32-72f6697b6b2b' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/3d0c7e70-8bf8-4506-8d32-72f6697b6b2b
Becker's Convenience,8906 Highway 124  Ospringe ON N1H 6H7,Food Take Out,21-Mar-2024,location.href = '/Facility/Details/f9429c8c-c7fd-4cec-acdb-58af322d0be2' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/f9429c8c-c7fd-4cec-acdb-58af322d0be2
Becky Koeslag Catering,7443 14th Line  Alma ON N0B 1A0,Food Caterer,25-May-2023,location.href = '/Facility/Details/3bd77724-28db-43c4-aaae-5f92b8e21f6f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/3bd77724-28db-43c4-aaae-5f92b8e21f6f
Beertown Public House,433 Stone Rd W  Guelph ON N1G 2X6,Restaurant,18-Apr-2024,location.href = '/Facility/Details/5286c0b4-8e63-4004-9ee1-367d678602b4' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/5286c0b4-8e63-4004-9ee1-367d678602b4
Bela Crema Bakery,6229 6th Line  Belwood ON N0B 1J0,Home-Based Kitchen,26-Mar-2024,location.href = '/Facility/Details/7d4eec41-440d-4ca5-a1fd-ab4474b6ca75' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/7d4eec41-440d-4ca5-a1fd-ab4474b6ca75
