Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
Border City Ink Tattoo,1194 Wyandotte St E Windsor ON N9A 3J6,Tattoo/Micro-Pigmentation,03-Feb-2023,location.href = '/disclosure/Facility/Details/8ed9ea5a-c5f9-4815-a16d-d686b665600b' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8ed9ea5a-c5f9-4815-a16d-d686b665600b
Borics,6038 Tecumseh Rd E Windsor ON N8T 1E3,Barber Shop/Hair Salon,08-Jan-2024,location.href = '/disclosure/Facility/Details/c3314b5f-1716-4fd8-911b-5cf24a6f32cd' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c3314b5f-1716-4fd8-911b-5cf24a6f32cd
Bounce Hair and Beauty,200-1645 Wyandotte St E Windsor ON N8Y 1C8,Beauty Salon,15-Apr-2024,location.href = '/disclosure/Facility/Details/3e42c681-6e10-4fb1-99be-a64e2a12c91a' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/3e42c681-6e10-4fb1-99be-a64e2a12c91a
Brass Hare,8-2950 Dougall Ave Windsor ON N9E 1S2,Barber Shop/Hair Salon,05-Jan-2024,location.href = '/disclosure/Facility/Details/4784a38f-d4cb-4757-ad2f-b9b67ac932de' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4784a38f-d4cb-4757-ad2f-b9b67ac932de
Bright Child Montessori,236 Cherrylawn Cres Amherstburg ON N9V 1P8,Child Care Setting,04-Apr-2024,location.href = '/disclosure/Facility/Details/6e6c615d-8bf7-41af-a30b-fa9580349c72' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/6e6c615d-8bf7-41af-a30b-fa9580349c72
Brock EarlyOn Child and Family Centre,3312 Sandwich St Windsor ON N9C 1B1,Child Care Setting,16-Jan-2024,location.href = '/disclosure/Facility/Details/4058f618-5e46-47e6-9db4-e90c47d65aef' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4058f618-5e46-47e6-9db4-e90c47d65aef
Brother's Barber Shop,5-9733 Tecumseh Rd E Windsor ON N8R 1A5,Barber Shop/Hair Salon,08-Dec-2023,location.href = '/disclosure/Facility/Details/eb1a9e19-cefb-4958-8a6d-8b1b2d2ba1a8' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/eb1a9e19-cefb-4958-8a6d-8b1b2d2ba1a8
Brouillette Manor,11900 Brouillette Crt Windsor ON N8N 5H5,Barber Shop/Hair Salon,19-Jan-2024,location.href = '/disclosure/Facility/Details/0abc4426-ac94-4624-9dc1-0abb266ddd5a' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/0abc4426-ac94-4624-9dc1-0abb266ddd5a
Brows 2 B,100-3335 Banwell Rd Windsor ON N8R 2K9,Tattoo/Micro-Pigmentation,18-Apr-2023,location.href = '/disclosure/Facility/Details/505eceb7-a149-45d6-9813-acf482cad558' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/505eceb7-a149-45d6-9813-acf482cad558
Brows by Sonia,3-2605 Howard Ave Windsor ON N8X 3W7,Beauty Salon,17-Jan-2024,location.href = '/disclosure/Facility/Details/6af519f5-6410-449c-b69f-bd605bf69c02' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/6af519f5-6410-449c-b69f-bd605bf69c02
Brows2B,356 Hamner Circle Windsor ON N9A 4P9,Tattoo/Micro-Pigmentation,04-Mar-2024,location.href = '/disclosure/Facility/Details/233c72b3-d357-40d9-9070-1d8a7e2693ec' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/233c72b3-d357-40d9-9070-1d8a7e2693ec
Burki Babershop,195 Ouellette St Belle River ON N0R 1A0,Barber Shop/Hair Salon,18-Aug-2023,location.href = '/disclosure/Facility/Details/49c1e01b-7936-4e42-9cda-eac9bd356582' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/49c1e01b-7936-4e42-9cda-eac9bd356582
Burning Giraffe Tattoos,262 Oak St E Leamington ON N8H 4V4,Tattoo/Micro-Pigmentation,06-Feb-2023,location.href = '/disclosure/Facility/Details/fd68de42-d352-40a8-b3d1-45bc8a35eade' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/fd68de42-d352-40a8-b3d1-45bc8a35eade
Cabello Hair,12-370 Victoria Ave Windsor ON N9A 4K9,Barber Shop/Hair Salon,04-Jan-2024,location.href = '/disclosure/Facility/Details/f0e9d5e4-25f9-48b5-974f-0b09aa0db0ff' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f0e9d5e4-25f9-48b5-974f-0b09aa0db0ff
Cameo Hair Salon,3873 Dougall Ave Windsor ON N9G 1X3,Barber Shop/Hair Salon,13-Oct-2023,location.href = '/disclosure/Facility/Details/44a2c52f-d6f7-441e-a1d7-29d0241829ac' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/44a2c52f-d6f7-441e-a1d7-29d0241829ac
