Inspection Type,Inspection Date,url_inspection,url_inspection_full,url_entity_full
Required,21-Dec-2023,location.href = '/disclosure/Inspection/Details/bd54ee15-52ba-49cc-8423-682814fcacf2' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/bd54ee15-52ba-49cc-8423-682814fcacf2,https://disclosure55.wechu.org/disclosure/Facility/Details/3387fe30-3218-4a66-99e8-0de98100ae64
Required,15-Dec-2023,location.href = '/disclosure/Inspection/Details/b1385412-0b5c-4fd9-96e5-14f6fac28349' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/b1385412-0b5c-4fd9-96e5-14f6fac28349,https://disclosure55.wechu.org/disclosure/Facility/Details/442df444-0637-49c5-ba47-c1f97d1736e8
Required,12-Dec-2023,location.href = '/disclosure/Inspection/Details/7343715f-537a-46fe-8316-14743c1b9fd0' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/7343715f-537a-46fe-8316-14743c1b9fd0,https://disclosure55.wechu.org/disclosure/Facility/Details/442df444-0637-49c5-ba47-c1f97d1736e8
Required,11-Oct-2022,location.href = '/disclosure/Inspection/Details/4e3cb056-7dc9-4a5a-a23b-6272875d648d' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/4e3cb056-7dc9-4a5a-a23b-6272875d648d,https://disclosure55.wechu.org/disclosure/Facility/Details/442df444-0637-49c5-ba47-c1f97d1736e8
Required,03-Jan-2024,location.href = '/disclosure/Inspection/Details/ca613926-1d45-467a-9f39-09a22ca2f0dc' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/ca613926-1d45-467a-9f39-09a22ca2f0dc,https://disclosure55.wechu.org/disclosure/Facility/Details/34c77b92-b18f-4e66-a586-9a75b162af3c
Re-Inspection,15-Mar-2023,location.href = '/disclosure/Inspection/Details/20ce54b3-6fc4-489f-a091-6702e18fc63e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/20ce54b3-6fc4-489f-a091-6702e18fc63e,https://disclosure55.wechu.org/disclosure/Facility/Details/34c77b92-b18f-4e66-a586-9a75b162af3c
Re-Inspection,13-Jan-2023,location.href = '/disclosure/Inspection/Details/e0427e4b-147d-42f1-b679-b6504755c39e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/e0427e4b-147d-42f1-b679-b6504755c39e,https://disclosure55.wechu.org/disclosure/Facility/Details/34c77b92-b18f-4e66-a586-9a75b162af3c
Required,12-Jan-2023,location.href = '/disclosure/Inspection/Details/1924badf-efba-45c0-bd1f-5fb90eb20bb6' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/1924badf-efba-45c0-bd1f-5fb90eb20bb6,https://disclosure55.wechu.org/disclosure/Facility/Details/34c77b92-b18f-4e66-a586-9a75b162af3c
Required,17-Aug-2022,location.href = '/disclosure/Inspection/Details/c7e91653-59ee-4b42-9b49-930bc3f11937' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/c7e91653-59ee-4b42-9b49-930bc3f11937,https://disclosure55.wechu.org/disclosure/Facility/Details/34c77b92-b18f-4e66-a586-9a75b162af3c
Required,01-Mar-2024,location.href = '/disclosure/Inspection/Details/6496c211-090a-42f0-83df-642cd7143a08' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/6496c211-090a-42f0-83df-642cd7143a08,https://disclosure55.wechu.org/disclosure/Facility/Details/14ad99f0-d1ff-407a-bb3f-521da0ba1ae8
Required,22-Mar-2023,location.href = '/disclosure/Inspection/Details/3121ad3c-9483-4e86-bf57-a3dde5c719c1' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/3121ad3c-9483-4e86-bf57-a3dde5c719c1,https://disclosure55.wechu.org/disclosure/Facility/Details/14ad99f0-d1ff-407a-bb3f-521da0ba1ae8
Required,28-Dec-2022,location.href = '/disclosure/Inspection/Details/7b2ed2fb-5081-4e26-afa7-91f196b22811' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/7b2ed2fb-5081-4e26-afa7-91f196b22811,https://disclosure55.wechu.org/disclosure/Facility/Details/14ad99f0-d1ff-407a-bb3f-521da0ba1ae8
Required,20-Mar-2024,location.href = '/disclosure/Inspection/Details/9c8b8ae5-8b8a-4b99-a6ac-8eb241fe3140' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/9c8b8ae5-8b8a-4b99-a6ac-8eb241fe3140,https://disclosure55.wechu.org/disclosure/Facility/Details/842ac06f-9473-4b9c-ab63-17c1d06dd472
Required,03-Jan-2024,location.href = '/disclosure/Inspection/Details/987964d3-1511-4325-b007-6d5911a57b88' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/987964d3-1511-4325-b007-6d5911a57b88,https://disclosure55.wechu.org/disclosure/Facility/Details/a90bed6f-fbf0-471e-93fe-37a62e993584
Re-Inspection,27-Apr-2023,location.href = '/disclosure/Inspection/Details/7086482b-91b7-4e9b-9c0a-588223c8d1a8' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/7086482b-91b7-4e9b-9c0a-588223c8d1a8,https://disclosure55.wechu.org/disclosure/Facility/Details/a90bed6f-fbf0-471e-93fe-37a62e993584
Required,18-Apr-2023,location.href = '/disclosure/Inspection/Details/016f379e-28e8-4b15-9568-e629c95a4f45' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/016f379e-28e8-4b15-9568-e629c95a4f45,https://disclosure55.wechu.org/disclosure/Facility/Details/a90bed6f-fbf0-471e-93fe-37a62e993584
Required,29-Dec-2022,location.href = '/disclosure/Inspection/Details/b205f625-ea13-4d7c-a671-2b147afbab7e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/b205f625-ea13-4d7c-a671-2b147afbab7e,https://disclosure55.wechu.org/disclosure/Facility/Details/a90bed6f-fbf0-471e-93fe-37a62e993584
