Inspection Date,Inspection Type,url_inspection,url_inspection_full,url_entity_full
10-Aug-2023,Follow-up,location.href = '/Inspection/Details/a68c5257-3fda-4164-a8ca-78272f919c14' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/a68c5257-3fda-4164-a8ca-78272f919c14,https://checkbeforeyougo.phsd.ca/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0
19-Jul-2023,Follow-up,location.href = '/Inspection/Details/19038c72-c24d-4d77-b49f-ce0f505134cd' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/19038c72-c24d-4d77-b49f-ce0f505134cd,https://checkbeforeyougo.phsd.ca/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0
21-Jun-2023,Required,location.href = '/Inspection/Details/a83ff7c6-99a8-4948-802e-159e3b05634d' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/a83ff7c6-99a8-4948-802e-159e3b05634d,https://checkbeforeyougo.phsd.ca/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0
24-Mar-2023,Follow-up,location.href = '/Inspection/Details/3081ee14-af06-46e1-8746-3e869d614005' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/3081ee14-af06-46e1-8746-3e869d614005,https://checkbeforeyougo.phsd.ca/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0
27-Feb-2023,Required,location.href = '/Inspection/Details/105986d0-7165-4010-9327-53c7c21ed49d' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/105986d0-7165-4010-9327-53c7c21ed49d,https://checkbeforeyougo.phsd.ca/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0
21-Dec-2022,Follow-up,location.href = '/Inspection/Details/1c1b3dee-aaae-46ae-91ad-b718c65b46c8' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/1c1b3dee-aaae-46ae-91ad-b718c65b46c8,https://checkbeforeyougo.phsd.ca/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0
12-Dec-2022,Required,location.href = '/Inspection/Details/dbee1e63-b7b5-4da8-9d01-ee26a756f27e' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/dbee1e63-b7b5-4da8-9d01-ee26a756f27e,https://checkbeforeyougo.phsd.ca/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0
12-Mar-2024,Required,location.href = '/Inspection/Details/ed0230e7-c672-46fe-aa00-cf7575c0529a' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/ed0230e7-c672-46fe-aa00-cf7575c0529a,https://checkbeforeyougo.phsd.ca/Facility/Details/bd8a295a-33f8-4be3-adc0-3db31224d56f
30-Apr-2024,Required,location.href = '/Inspection/Details/8fa2ea37-93ed-4adb-87d3-cb4d56ca509c' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/8fa2ea37-93ed-4adb-87d3-cb4d56ca509c,https://checkbeforeyougo.phsd.ca/Facility/Details/71f2ec4c-ee58-4dca-8688-2a99e13b0a9f
30-Apr-2024,Follow-up,location.href = '/Inspection/Details/8d517461-f611-4cfc-9b65-1225e95deb01' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/8d517461-f611-4cfc-9b65-1225e95deb01,https://checkbeforeyougo.phsd.ca/Facility/Details/71f2ec4c-ee58-4dca-8688-2a99e13b0a9f
18-Jan-2024,Required,location.href = '/Inspection/Details/ff6d9ff6-7c36-46b2-b62f-2480d016b609' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/ff6d9ff6-7c36-46b2-b62f-2480d016b609,https://checkbeforeyougo.phsd.ca/Facility/Details/71f2ec4c-ee58-4dca-8688-2a99e13b0a9f
16-Jan-2023,Required,location.href = '/Inspection/Details/b5e6486e-8a9e-4951-813a-18732acc8e7f' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/b5e6486e-8a9e-4951-813a-18732acc8e7f,https://checkbeforeyougo.phsd.ca/Facility/Details/71f2ec4c-ee58-4dca-8688-2a99e13b0a9f
19-Sep-2022,Required,location.href = '/Inspection/Details/67b4bb3a-8c61-4c5f-8a43-a37cd8a7b364' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/67b4bb3a-8c61-4c5f-8a43-a37cd8a7b364,https://checkbeforeyougo.phsd.ca/Facility/Details/71f2ec4c-ee58-4dca-8688-2a99e13b0a9f
01-Dec-2023,Required,location.href = '/Inspection/Details/915c507d-3bfd-4ddd-a64a-fcac6fd514da' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/915c507d-3bfd-4ddd-a64a-fcac6fd514da,https://checkbeforeyougo.phsd.ca/Facility/Details/57af5646-76cd-412a-b165-d46caf9c853b
06-Dec-2022,Required,location.href = '/Inspection/Details/d83685d9-1369-49bc-b939-fddc562eac4d' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/d83685d9-1369-49bc-b939-fddc562eac4d,https://checkbeforeyougo.phsd.ca/Facility/Details/57af5646-76cd-412a-b165-d46caf9c853b
16-Jan-2024,Required,location.href = '/Inspection/Details/599df405-4274-4e60-a2b9-8723b8b6003c' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/599df405-4274-4e60-a2b9-8723b8b6003c,https://checkbeforeyougo.phsd.ca/Facility/Details/cee9bf7b-8390-4b4f-9ee8-12cedf82278a
27-Jan-2023,Required,location.href = '/Inspection/Details/c6a4d69a-560e-4c06-8e33-44c21a4ad594' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/c6a4d69a-560e-4c06-8e33-44c21a4ad594,https://checkbeforeyougo.phsd.ca/Facility/Details/cee9bf7b-8390-4b4f-9ee8-12cedf82278a
14-Sep-2022,Required,location.href = '/Inspection/Details/4bf439d8-1f8f-478f-9f06-1dd7d29ad429' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/4bf439d8-1f8f-478f-9f06-1dd7d29ad429,https://checkbeforeyougo.phsd.ca/Facility/Details/cee9bf7b-8390-4b4f-9ee8-12cedf82278a
19-Jan-2024,Required,location.href = '/Inspection/Details/5926be01-1565-4713-85ff-111b88e51e7b' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/5926be01-1565-4713-85ff-111b88e51e7b,https://checkbeforeyougo.phsd.ca/Facility/Details/31c2329e-5358-4286-a5a1-359daaac70b1
18-Jan-2023,Required,location.href = '/Inspection/Details/ed2f2f65-8691-46fe-9d7f-27cabbd7785c' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/ed2f2f65-8691-46fe-9d7f-27cabbd7785c,https://checkbeforeyougo.phsd.ca/Facility/Details/31c2329e-5358-4286-a5a1-359daaac70b1
