Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Services Inspected,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
Lockerby Confectionery,1513 Paris St  Sudbury ON P3E 3B7,Food Store (Convenience / Variety),06-Mar-2023,location.href = '/Facility/Details/42cab511-4eb0-4550-852a-d3cd1ef22250' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/42cab511-4eb0-4550-852a-d3cd1ef22250
Loco Beanz Coffee House,109 Arthur Street  Manitowaning ON P0P 1N0,Bakery (Retail and Production),13-Mar-2024,location.href = '/Facility/Details/3460273a-05c9-45cf-9a58-394ad6110fee' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3460273a-05c9-45cf-9a58-394ad6110fee
Loco Beanz Coffee House,7 Water St E  Little Current ON P0P 1K0,Food Take Out,15-Mar-2024,location.href = '/Facility/Details/2f1e6e26-dc76-47df-a32b-80d83f5e5200' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2f1e6e26-dc76-47df-a32b-80d83f5e5200
Lo-Ellen Park Secondary School,275 Loach's Rd  Sudbury ON P3E 2P8,Cafeteria,01-Dec-2023,location.href = '/Facility/Details/4f58ce66-593c-4f2c-9f8e-a75bce1e19ca' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4f58ce66-593c-4f2c-9f8e-a75bce1e19ca
Lo-Ellen Park Secondary School,275 Loach's Rd  Sudbury ON P3E 2P8,School Nourishment Program,01-Dec-2023,location.href = '/Facility/Details/f45b9384-2400-4812-b007-4efc88da0254' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f45b9384-2400-4812-b007-4efc88da0254
Lorne Kwik Way,943 Lorne Street  Sudbury ON P3C 4R8,Food Store (Convenience / Variety),09-Jan-2024,location.href = '/Facility/Details/ff40f3fa-9ca1-4b8a-b4df-30d46fca2781' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ff40f3fa-9ca1-4b8a-b4df-30d46fca2781
Lot 88 Steakhouse,1070 Kingsway Blvd  Sudbury ON P3B 2E5,Restaurant,20-Mar-2024,location.href = '/Facility/Details/4063db24-d6c1-4c6b-9b9a-b9282e8ca7c3' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4063db24-d6c1-4c6b-9b9a-b9282e8ca7c3
Louise-Philippe Desjardins - Pasta,1060 Gravel Drive  Sudbury ON P3P 1R8,Bakery (Retail and Production),11-May-2023,location.href = '/Facility/Details/509df7ba-80d5-4401-b393-aee664b25bde' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/509df7ba-80d5-4401-b393-aee664b25bde
Love's Curated Market,1311 Gemmell St  Sudbury ON P3A 1G3,Food Take Out,12-Feb-2024,location.href = '/Facility/Details/334ef6a7-d81d-45c6-9073-ca5510ccef5b' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/334ef6a7-d81d-45c6-9073-ca5510ccef5b
Lucky's Home Style Restaurant,403 Hwy 17  Walford ON P0P 2E0,Restaurant,08-Feb-2024,location.href = '/Facility/Details/dff4899a-39b5-44b6-8e60-f833a17c1cf6' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/dff4899a-39b5-44b6-8e60-f833a17c1cf6
