Facility Name,Facility Type,Last Inspection Date,Site Address,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
Koala T Care Day Care,Child Care Onsite Prep.,10-Jan-2024,4011 Highway 6 Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/fbe5a518-ad0c-4c9c-a61e-169ce6e57a7f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/fbe5a518-ad0c-4c9c-a61e-169ce6e57a7f
KrisJen's 2.0 Catering,Food Caterer,13-Feb-2024,251 Head Street North Simcoe ON N3Y 3X8,location.href = '/Portal/Facility/Details/9bc151b3-d3d6-407c-b1e3-67a21c3a8f43' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/9bc151b3-d3d6-407c-b1e3-67a21c3a8f43
Krizan Meat and Deli,Butcher Shop,13-Dec-2023,173 Main St Courtland ON N0J 1E0,location.href = '/Portal/Facility/Details/02412b95-f349-4230-8799-a82f41cf71d2' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/02412b95-f349-4230-8799-a82f41cf71d2
Lakeside Savings,Convenience / Variety,18-Aug-2023,331 Main St Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/3190afd2-3233-4cff-aecc-afdd3379adbf' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3190afd2-3233-4cff-aecc-afdd3379adbf
Langton Arena,Snack Bar / Refreshment Stand,06-Mar-2024,30 Albert St Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/17be424b-086d-45a6-a6da-fd3ca7c900f1' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/17be424b-086d-45a6-a6da-fd3ca7c900f1
Langton Community Centre,Community Hall,06-Mar-2024,28 Albert St Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/6131214e-41d8-41ab-8223-794919d541d0' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6131214e-41d8-41ab-8223-794919d541d0
Langton Food Market,Convenience / Variety,13-Jun-2023,24 Queen St Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/945f3d3e-ab4f-47c0-914e-40e321bd3920' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/945f3d3e-ab4f-47c0-914e-40e321bd3920
Langton Pharmacy,Convenience / Variety,18-Mar-2024,38 Queen Street Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/ac0c9bf0-d88f-41e5-8c22-de5310c8f2a4' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/ac0c9bf0-d88f-41e5-8c22-de5310c8f2a4
Langton Public School,School Nutrition Program,,23 Albert St Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/1223d8e9-05bb-4308-9bae-0b6f73bb54af' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/1223d8e9-05bb-4308-9bae-0b6f73bb54af
LaSalette Rural Roots Community Hall,Community Hall,12-Apr-2023,94 LaSalette Rd LaSalette ON N0E 1H0,location.href = '/Portal/Facility/Details/486c3c46-e945-4f2e-b3a4-c4bfb3a51e63' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/486c3c46-e945-4f2e-b3a4-c4bfb3a51e63
