Inspection Date,Inspection Type,Critical Infractions Count,Non Critical Infractions Count,Inspection Result,url_inspection,url_inspection_full,url_entity_full
14-Sep-2022,Required,0,0,,location.href = '/Inspection/Details/25989b62-cb56-4fdb-97f3-746e1c18420a' ,http://choosewise.nwhu.on.ca/Inspection/Details/25989b62-cb56-4fdb-97f3-746e1c18420a,http://choosewise.nwhu.on.ca/Facility/Details/40ddf572-6e9e-4a1f-9ad4-ed964bf6a767
25-Nov-2020,Required,0,0,,location.href = '/Inspection/Details/be4201ca-0496-488d-ae8e-b2fd2c530bcb' ,http://choosewise.nwhu.on.ca/Inspection/Details/be4201ca-0496-488d-ae8e-b2fd2c530bcb,http://choosewise.nwhu.on.ca/Facility/Details/59744a37-1a2b-415b-add4-261a9dd424b3
12-Apr-2024,Required,0,2,,location.href = '/Inspection/Details/89818f05-61d3-44b2-9488-955427650b8b' ,http://choosewise.nwhu.on.ca/Inspection/Details/89818f05-61d3-44b2-9488-955427650b8b,http://choosewise.nwhu.on.ca/Facility/Details/ce35ebcb-2de2-47bc-907c-f9bf29c9ed0f
10-Nov-2023,Required,0,1,,location.href = '/Inspection/Details/84c15357-e696-442f-b0ac-e95d351b5db0' ,http://choosewise.nwhu.on.ca/Inspection/Details/84c15357-e696-442f-b0ac-e95d351b5db0,http://choosewise.nwhu.on.ca/Facility/Details/ce35ebcb-2de2-47bc-907c-f9bf29c9ed0f
18-Aug-2023,Required,0,0,,location.href = '/Inspection/Details/4cc7cbb6-9f06-42cc-9d88-bcccf9858064' ,http://choosewise.nwhu.on.ca/Inspection/Details/4cc7cbb6-9f06-42cc-9d88-bcccf9858064,http://choosewise.nwhu.on.ca/Facility/Details/ce35ebcb-2de2-47bc-907c-f9bf29c9ed0f
24-Apr-2023,Required,0,1,,location.href = '/Inspection/Details/2025feb8-f152-4f5c-b28c-eee9988fce2c' ,http://choosewise.nwhu.on.ca/Inspection/Details/2025feb8-f152-4f5c-b28c-eee9988fce2c,http://choosewise.nwhu.on.ca/Facility/Details/ce35ebcb-2de2-47bc-907c-f9bf29c9ed0f
09-Dec-2022,Required,1,0,,location.href = '/Inspection/Details/2e804e4c-bee7-4966-ba3c-35001cf8cde9' ,http://choosewise.nwhu.on.ca/Inspection/Details/2e804e4c-bee7-4966-ba3c-35001cf8cde9,http://choosewise.nwhu.on.ca/Facility/Details/ce35ebcb-2de2-47bc-907c-f9bf29c9ed0f
14-Dec-2021,Required,0,1,,location.href = '/Inspection/Details/3b0f68fc-1d68-4f06-b878-6f41dd9b31b4' ,http://choosewise.nwhu.on.ca/Inspection/Details/3b0f68fc-1d68-4f06-b878-6f41dd9b31b4,http://choosewise.nwhu.on.ca/Facility/Details/ce35ebcb-2de2-47bc-907c-f9bf29c9ed0f
08-Oct-2020,Follow-up,0,0,,location.href = '/Inspection/Details/5219752a-b363-43cf-92b5-3935024c4208' ,http://choosewise.nwhu.on.ca/Inspection/Details/5219752a-b363-43cf-92b5-3935024c4208,http://choosewise.nwhu.on.ca/Facility/Details/ce35ebcb-2de2-47bc-907c-f9bf29c9ed0f
30-Sep-2020,Required,1,0,,location.href = '/Inspection/Details/33810e4d-dd12-4b06-93df-acfee2e60719' ,http://choosewise.nwhu.on.ca/Inspection/Details/33810e4d-dd12-4b06-93df-acfee2e60719,http://choosewise.nwhu.on.ca/Facility/Details/ce35ebcb-2de2-47bc-907c-f9bf29c9ed0f
20-Jul-2020,Required,1,0,,location.href = '/Inspection/Details/8c996fae-8e58-4c3d-b5df-7bd83508de60' ,http://choosewise.nwhu.on.ca/Inspection/Details/8c996fae-8e58-4c3d-b5df-7bd83508de60,http://choosewise.nwhu.on.ca/Facility/Details/ce35ebcb-2de2-47bc-907c-f9bf29c9ed0f
22-Feb-2024,Required,0,1,,location.href = '/Inspection/Details/cc0b04c8-4d61-429e-9c82-adfbe1e3736d' ,http://choosewise.nwhu.on.ca/Inspection/Details/cc0b04c8-4d61-429e-9c82-adfbe1e3736d,http://choosewise.nwhu.on.ca/Facility/Details/18e056b4-2246-4b01-8409-95fa70e962cc
26-Jun-2023,Required,0,1,,location.href = '/Inspection/Details/d2cf2075-bec6-47cd-b361-802eeb62e234' ,http://choosewise.nwhu.on.ca/Inspection/Details/d2cf2075-bec6-47cd-b361-802eeb62e234,http://choosewise.nwhu.on.ca/Facility/Details/18e056b4-2246-4b01-8409-95fa70e962cc
19-Dec-2023,Required,1,1,,location.href = '/Inspection/Details/6964a383-b15c-4686-9ca2-941742b5aea0' ,http://choosewise.nwhu.on.ca/Inspection/Details/6964a383-b15c-4686-9ca2-941742b5aea0,http://choosewise.nwhu.on.ca/Facility/Details/cb385910-8e14-4ecf-adcf-1168d6d50cbd
03-Jan-2023,Required,0,0,,location.href = '/Inspection/Details/2981cf28-52d3-4f19-837f-843893050425' ,http://choosewise.nwhu.on.ca/Inspection/Details/2981cf28-52d3-4f19-837f-843893050425,http://choosewise.nwhu.on.ca/Facility/Details/cb385910-8e14-4ecf-adcf-1168d6d50cbd
11-Apr-2024,Required,0,0,,location.href = '/Inspection/Details/89bc0ba5-db3d-4885-880d-ced281334353' ,http://choosewise.nwhu.on.ca/Inspection/Details/89bc0ba5-db3d-4885-880d-ced281334353,http://choosewise.nwhu.on.ca/Facility/Details/96b0574a-f0f7-4c37-9195-526f1e126711
07-Dec-2023,Required,0,0,,location.href = '/Inspection/Details/3d2058df-99d3-48d4-8cef-d8696552167e' ,http://choosewise.nwhu.on.ca/Inspection/Details/3d2058df-99d3-48d4-8cef-d8696552167e,http://choosewise.nwhu.on.ca/Facility/Details/96b0574a-f0f7-4c37-9195-526f1e126711
28-Jun-2023,Required,1,0,,location.href = '/Inspection/Details/fe8c3136-3b9e-4ed9-9072-ab78572ddba8' ,http://choosewise.nwhu.on.ca/Inspection/Details/fe8c3136-3b9e-4ed9-9072-ab78572ddba8,http://choosewise.nwhu.on.ca/Facility/Details/96b0574a-f0f7-4c37-9195-526f1e126711
15-Dec-2020,Required,1,0,,location.href = '/Inspection/Details/9128021b-33d3-4397-ae2d-9e019cab9b68' ,http://choosewise.nwhu.on.ca/Inspection/Details/9128021b-33d3-4397-ae2d-9e019cab9b68,http://choosewise.nwhu.on.ca/Facility/Details/96b0574a-f0f7-4c37-9195-526f1e126711
15-Dec-2023,Required,0,0,,location.href = '/Inspection/Details/3071a83a-a7c6-4fa3-b121-1856d16cffeb' ,http://choosewise.nwhu.on.ca/Inspection/Details/3071a83a-a7c6-4fa3-b121-1856d16cffeb,http://choosewise.nwhu.on.ca/Facility/Details/b5136a6b-7bff-45c5-aadf-1b1fd0833db4
